"","Title","Action","Name","Start.Date","Score","File"
"24","Erfahrungen von alten Menschen und deren Familien im Kontext eines Betreuungsarrangements mit Care Migrantinnen","IS0603","Heidi Petry",2014-11-01,0.2247004543,"projekt-detail_026"
"25","Jagdrevierbewertung des Kantons St. Gallen","FA1304","Roland Graf",2014-11-01,0.0529210306,"projekt-detail_027"
"26","Markteinfhrung pendularis","FA1204","Erich Stutz",2014-11-01,0.1168421652,"projekt-detail_028"
"27","kobilanz von Torf Alternativsubstraten und Substratmischungen","IS0906","",NA,0.0470506829,"projekt-detail_030"
"28","PearL: Diversity and host range of Pseudomonas syringae in fruit tree species in Latvia","BM0906","Brion Duffy",2014-11-01,0.2106547677,"projekt-detail_031"
"29","Positionierungs- und Kommunikationskonzept fr das Institut fr Facility Management der ZHAW","MP1208","Nicole Rosenberger",2014-11-01,0.1096264694,"projekt-detail_032"
"30","SIgrid","TU1401","Alberto Colotti",2014-11-01,0.1271183215,"projekt-detail_033"
"31","Studie Systemwechsel Verrechnungssteuer Kanton Zrich","CM1304","Andreas Bergmann",2014-11-01,0.0488634115,"projekt-detail_034"
"32","Innovationswettbewerb Excellence publique 2015","IC0804","Schmidhauser Beda",2014-10-29,0.1082800578,"projekt-detail_035"
"33","Audiovisuelle Beeintrchtigungen im Alter","BM1407","Daniela Händler-Schuster",2014-10-01,0.1138780928,"projekt-detail_036"
"34","BPM-Studie 2015 - &quot;Prozessintelligenz&quot;","IC0806","Elke Brucker-Kley",2014-10-01,0.1704659385,"projekt-detail_037"
"35","Evaluation des Schulblatts des Kanton Zrichs","TU0804","Carmen Koch",2014-10-01,0.1507276187,"projekt-detail_038"
"36","Gefhrdung von Arbeitenden durch Kontakt mit Pflanzenschutz-mitteln whrend Nachfolgearbeiten in der Landwirtschaft","FA1006","Esther Fischer",2014-10-01,0.0781949153,"projekt-detail_039"
"37","Giving birth","IC1106","Valerie Fleming",2014-10-01,0.0837385252,"projekt-detail_040"
"38","Kosten von Diabetes in der Schweiz","BM0602","Simon Wieser",2014-10-01,0.1422861251,"projekt-detail_042"
"39","NFP71: Using formal social groups to promote energy-sufficient behaviour in cities","TU1204","Corinne Moser",2014-10-01,0.25210505,"projekt-detail_043"
"40","Objektive Kriterien fr die individuelle Auswahl einer physiologisch gnstigen Violinposition","FP1302","",2014-10-01,0.1440643107,"projekt-detail_044"
"41","ProPAT","FP1206","Matthias Stucki",2014-10-01,0.145415546,"projekt-detail_045"
"42","PV2050: Sustainability market deployment and interaction to the grid  the impacts of advanced photovoltaic solution","ES1002","Vicente Carabias-Hütter ",2014-10-01,0.2502957849,"projekt-detail_046"
"43","Renewable Methane Transport + Mobility","ES1405","Urs Baier",2014-10-01,0.2203169331,"projekt-detail_047"
"44","Sciex 14.176 PEGAS","TD0803","Karin Kovar",2014-10-01,0.0913125735,"projekt-detail_048"
"45","Spital Limmattal: Koordination der Altersversorgung im Zweckverband des Spitals Limmattal","BM1003","Flurina Meier",2014-10-01,0.0544629446,"projekt-detail_049"
"46","Wirkungsevaluation &quot;Zuerich isst&quot;","TU1204","Petra Bättig-Frey",2014-10-01,0.183722346,"projekt-detail_050"
"47","FMH Praxiskostenbarometer","MP1101","Alfred Angerer",2014-09-25,0.0946807795,"projekt-detail_051"
"48","Unerwartete Abbrche von Pflegeverhltnissen im Kinder- und Jugendalter","IS0603","Thomas  Gabriel",2014-09-15,0.0899284986,"projekt-detail_052"
"49","Auswirkungen des EU-Arbeitsrechts auf das schweizerische Arbeitsrecht","IS0602","Kurt Pärli",2014-09-01,0.2856806936,"projekt-detail_053"
"50","Beekeeper","FA0803","Fatih Uzdilli",2014-09-01,0.1684159922,"projekt-detail_054"
"51","Diskursanalyse zu den Sozialversicherungen","IS0906","Peter Stücheli-Herlach",2014-09-01,0.0760137777,"projekt-detail_055"
"52","ecomundo","IS0603","Liana Konstantinidou",2014-09-01,0.1315226928,"projekt-detail_056"
"53","Entwicklung zweiter Schwerpunkt ZHAW","IS0803","Elena Wilhelm",2014-09-01,0.0729315161,"projekt-detail_057"
"54","ExpAct - Experiences keep people Active","IS1409","Andri Färber",2014-09-01,0.1413480086,"projekt-detail_058"
"55","Heimalltag im Spiegel von Erlebnisberichten","IS1406","Thomas Gabriel",2014-09-01,0.2179657689,"projekt-detail_059"
"56","KTI Projekt: Hospital Planning - Revisited and Reloaded (V2)","TU0602","Susanne Hofer",2014-09-01,0.1184535759,"projekt-detail_060"
"57","Market Monitoring","IC1302","Kurt Stockinger",2014-09-01,0.1814368655,"projekt-detail_061"
"58","Monitoring Simme und Kander","CM1005","Michael Döring",2014-09-01,0.1633737479,"projekt-detail_062"
"59","PVT-Solarkraftwerk linth-arena sgu","TU1405","Jürg Rohrer",2014-09-01,0.1387851929,"projekt-detail_063"
"60","Schwermetalle in Schweizer Grngut","ES1407","Urs Baier",2014-09-01,0.1615689121,"projekt-detail_064"
"61","Schwermetalle in Schweizer Grngut","TU0804","Urs Baier",2014-09-01,0.1862473409,"projekt-detail_065"
"62","Vermittlung Tourismus- und Landschaftsqualitt - Methode und Produktentwicklung","IS1204","Gwendolin Bitter",2014-08-18,0.2322382127,"projekt-detail_066"
"63","Accounting for inter-governmental organizations","IS0802","Andreas Bergmann",2014-08-01,0.0986191691,"projekt-detail_067"
"64","Automatische Generierung von Regressionstests","FP0804","Mark Cieliebak",2014-08-01,0.088493373,"projekt-detail_068"
"65","Biol. Hydrolyse von organischen Abfllen","CM1303","Urs Baier",2014-08-01,0.0797515266,"projekt-detail_069"
"66","Electronic Crew Flight Pad","MP1106","",NA,0.070779603,"projekt-detail_070"
"67","Emissionspotential Grgut flssig","FA1302","Urs Baier",2014-08-01,0.3435932642,"projekt-detail_071"
"68","Lean Hospital - Transformationskonzept fr das Schweizer Gesundheitswesen","IS0903","Alfred Angerer",2014-08-01,0.1035254067,"projekt-detail_072"
"69","Mobilittskonzept Regionaler Naturpark Schaffhausen","TU0603","Merja Hoppe",2014-08-01,0.161632833,"projekt-detail_073"
"70","Org. Abflle Lebensmittelindustrie CH","TD1203","Urs Baier",2014-08-01,0.2570893349,"projekt-detail_074"
"71","Tgasa Sontgaclau Tourismus-Dienstleistungszentrum","IS1204","Stefan Forster",2014-08-01,0.146118605,"projekt-detail_075"
"72","Machbarkeitsstudie fr die Entwicklung einer Einlegesohle fr den kyBoot mit sensomotorischen Elementen zur Aktivierung des Beckenbodens nach der Geburt","BM1209","Eveline Graf",2014-07-31,0.227614272,"projekt-detail_076"
"73","Erarbeitung Projektdossier Programmvereinbarung 2016- 2019 fr die UNESCO-Welterbe Tektonikarena Sardona","IC0801","Gwendolin Bitter",2014-07-15,0.1471222504,"projekt-detail_077"
"74","Ausstellungskonzept &quot;nachhaltige Ernaehrung&quot;","FA1001","Petra Bättig-Frey",2014-07-01,0.1165471159,"projekt-detail_078"
"75","CONSUS","FP1205","Thomas Bratschi",2014-07-01,0.1042115258,"projekt-detail_079"
"76","Cooperation LCC and University of Freiburg (2014-2017)","IS0804","Patrick Studer",2014-07-01,0.1703191779,"projekt-detail_080"
"77","COST Action FA1104  Sustainable production of high quality cherries for the European market","FA1104","Brion Duffy",2014-07-01,0.9182011867,"projekt-detail_081"
"78","Intensitt der Inanspruchnahme von Gesundheitsleistungen in der Schweizer Bevlkerung","BM0704","Thomas Volken",2014-07-01,0.1771219971,"projekt-detail_082"
"79","Methodenadaption zur Wirkungsanalyse von Programmen und Projekten in der Regionalentwicklung","TD1106","Peter Marty",2014-07-01,0.1118760437,"projekt-detail_083"
"80","Nachhaltigkeitsbilanzierung von Tomaten","FA1106","Thomas Bratschi",2014-07-01,0.1514974263,"projekt-detail_084"
"81","SOLIDNA","IC1304","Thomas Michael Bohnert",2014-07-01,0.1333391987,"projekt-detail_085"
"82","Ursache und Wirkung im Vernderungsinventar fr Laufbahnberatungen VIL.","IS0903","Stephan Toggweiler",2014-07-01,0.0943827722,"projekt-detail_086"
"83","Vegetationskartierung Skigebiet Corvatsch","TU1202","Kirsten Edelkraut",2014-07-01,0.1130660402,"projekt-detail_087"
"84","Berufserkundungen: Vorbereitung auf mein erstes Beratungsgesprch.","IS1202","Stephan Toggweiler",2014-06-30,0.0954472986,"projekt-detail_088"
"85","Entscheidungsfindungen im Berufswahlprozess.","IC0602","Stephan Toggweiler",2014-06-30,0.1683735805,"projekt-detail_089"
"86","Unternehmensbewertungen","IS0605","Fabian Danko",2014-06-30,0.119001604,"projekt-detail_090"
"87","Sciex PLantMultitargetSkin: I. Iliescu","BM0903","Evelyn Wolfram-Schilling",2014-06-15,0.116628004,"projekt-detail_091"
"88","Betriebs- und Wartungskosten von Photovoltaikanlagen","MP1307","Franz Baumgartner",2014-06-01,0.0985049481,"projekt-detail_092"
"89","Digital Content Hub","IS1405","Peter Stücheli-Herlach",2014-06-01,0.0738868554,"projekt-detail_093"
"90","Effect of counselling during pulmonary rehabilitation on self-determined motivation towards physical activity in patients with Chronic Obstructive Pulmonary Disease","BM1208","Anne-Kathrin Rausch Osthoff",2014-06-01,0.077522982,"projekt-detail_094"
"91","Instrumente Nachhaltigkeitsmanagement","ES0803","Florian Brack",2014-06-01,0.1992883524,"projekt-detail_095"
"92","KULTURschafftLAND","TU1401","Priska Müller Wahl",2014-06-01,0.195774869,"projekt-detail_096"
"93","Machbarkeitsstudie Fahrtziel Natur","IS1105","Stefan Forster",2014-06-01,0.0624831744,"projekt-detail_097"
"94","Narrative Environments als Methode fr einen effizienten Wissenstransfer","IS0703","Regula Treichler",2014-06-01,0.1018167829,"projekt-detail_098"
"95","Pflege- und Unterhaltskonzept Geissau/Sihlhalden Thalwil","TU0804","Jürg Schlegel",2014-06-01,0.0861739403,"projekt-detail_099"
"96","Psychometrische Eigenschaften von GraphoPro.","IC0901","Stephan Toggweiler",2014-06-01,0.1726047869,"projekt-detail_100"
"97","Technologiedatenbank fr schweizerischen Technologietransfer","FA1105","Roland Gassmann",2010-01-01,0.0908625343,"projekt-detail_1000"
"98","Urban Farming Baugenossenschaft mehr als wohnen","TU1201","Doris Tausendpfund",2010-01-01,0.1589169501,"projekt-detail_1001"
"99","UVB Erweiterung Deponie Boschetta S-chanf","ES1406","Jürg Schlegel",2010-01-01,0.2580803418,"projekt-detail_1002"
"100","WebGIS Grental","FA1006","Hanno Rahn",2010-01-01,0.0547243294,"projekt-detail_1005"
"101","WebGIS Rebberg Halbinsel Au","FA1303","Pascal Ochsner",2010-01-01,0.1411062865,"projekt-detail_1006"
"102","Weiterbildung: Aufbau Weiterbildungskurs fr Experten &quot;Beratung von Unternehmern in der Nachfolge&quot;","IS1409","Anita Sigg",2010-01-01,0.1181645993,"projekt-detail_1007"
"103","ZHAW Versuchs-Biogasanlage","FA1006","Urs Baier",2010-01-01,0.1321355981,"projekt-detail_1008"
"104","Schreibwerkstatt IAM: Sicherheitsdirektion des Kantons Zrich","IS0703","Daniel Perrin",2009-12-07,0.1233187134,"projekt-detail_1009"
"105","Vegetations Kartierung Mauntschas St. Moritz","ES1104","Frei Eva",2014-06-01,0.1333898022,"projekt-detail_101"
"106","AGE im Hautmodell","BM1205","Ursula Graf-Hausner",2009-12-01,0.1602920362,"projekt-detail_1010"
"107","FM Servicekultur","IS1007","Christian Coenen",2009-12-01,0.243881466,"projekt-detail_1011"
"108","IT-Security im Bereich Verkehrstelematik","TU0702","",NA,0.1180407912,"projekt-detail_1012"
"109","Online-Bioprozessanalytik","TD1001","Caspar Demuth",2009-12-01,0.2189721356,"projekt-detail_1013"
"110","Verifizierung der Benutzerschnittstelle eines Gertes aus dem Bereich Medizintechnik","MP1106","Catherine Badras",2009-12-01,0.2684001548,"projekt-detail_1014"
"111","Leila - Leben mit Langzeiterkrankung","IS0603","Lorenz Imhof",2009-11-30,0.1141013269,"projekt-detail_1016"
"112","Evaluation und Bestandesaufnahme Wchnerinnen in der Schweiz","IS0907","",NA,0.1988257597,"projekt-detail_1017"
"113","Analyse der Schalenwildsituation im Gebiet Pilatus (Wildraum 5)","FA0601","Roland Graf",2009-11-20,0.1363379375,"projekt-detail_1018"
"114","Teilevaluation des Nanda-Projekts (Einfhrung der Pflegediagnosen)","FP1304","Lorenz Imhof",2009-11-10,0.0818405559,"projekt-detail_1019"
"115","Profile von jungen IV-Neurentenbeziehenden mit psychischen Krankheiten","BM1402","Peter Rüesch",2014-05-15,0.1021340876,"projekt-detail_102"
"116","Automated Software Security Testing 2","IC0901","",NA,0.112943103,"projekt-detail_1020"
"117","Bestandesaufnahme hindernisfreie Hochschule","BM1101","Sylvie Kobi",2009-11-01,0.1154697338,"projekt-detail_1021"
"118","Definition des Begriffs Rehabilitationspflege","IS1302","Lorenz Imhof",2009-11-01,0.1381213828,"projekt-detail_1022"
"119","Niederschwellig integriert? Eine Evaluation von Angeboten der Fachstelle fr Integrationsfragen des Kantons Zrich","IS1409","Sylvie Kobi",2009-11-01,0.1507656739,"projekt-detail_1023"
"120","Online-Adventskalender fr Studierende und Staff der SML","IS1404","Jacqueline Lutz",2009-11-01,0.0770138982,"projekt-detail_1024"
"121","Optimierung der Vergrung","FA1405","Urs Baier",2009-11-01,0.1456159644,"projekt-detail_1025"
"122","Systematische Erhebung der Schafalpen in den Steinbockkolonien und den Eidg. Jagdbanngebieten","FA1002","Roland Graf",2009-11-01,0.1033357138,"projekt-detail_1026"
"123","Ausbildung Alternative Investments","TU1209","Peter Meier",2009-10-01,0.2037985064,"projekt-detail_1027"
"124","Best Practice in Customer Interaction","IS0602","Helge Kaul",2009-10-01,0.1830113935,"projekt-detail_1028"
"125","Beurteilung der Wirkung von PDGF bei der Wundheilung","IC0702","Stephanie Mathes",2009-10-01,0.1421693581,"projekt-detail_1029"
"126","Big Data Query Processing","IC1302","Kurt Stockinger",2014-05-13,0.2598951449,"projekt-detail_103"
"127","Coaching KZU Krankenheimverband Zricher Unterland","IS1103","Holger Auerbach",2009-10-01,0.0682255843,"projekt-detail_1030"
"128","Gesundheitsmonitoring der Migrationsbevlkerung","IS1101","Thomas Volken",2009-10-01,0.1949996802,"projekt-detail_1031"
"129","Ingenieurabsolventinnen im Beruf","IS0901","Nadja Ramsauer",2009-10-01,0.1284367013,"projekt-detail_1032"
"130","Ingenieurabsolventinnen im Beruf","IS0901","Thea Weiss Sampietro",2009-10-01,0.0747325865,"projekt-detail_1033"
"131","Optimierung von Erdwrmesonden","TU0802","Markus Hubbuch",2009-10-01,0.1519030913,"projekt-detail_1034"
"132","Rckenstudie: Effektivitt der Physiotherapie bei Schmerzen in der Lendenwirbelsule","TD1005","Hannu Luomajoki",2009-10-01,0.3690028093,"projekt-detail_1035"
"133","Salute - Kompetente Freiwillige Gesundheitsnetz 2025","IS0603","Thomas Gabriel",2009-10-01,0.1099446733,"projekt-detail_1036"
"134","Salute - Kompetente Freiwillige Gesundheitsnetz 2025","TU1204","Peter Rüesch",2009-10-01,0.1168264781,"projekt-detail_1037"
"135","Schreibwerkstatt IAM: Onlineredaktion UVEK","IS0703","Aleksandra Gnach",2009-10-01,0.2623321792,"projekt-detail_1038"
"136","Arbeitsorganisation und Zusammenarbeit von dipl. Pflegenden und Fachangestellte Gesundheit (FAGE)","IS1302","Romy Mahrer Imhof",2009-09-01,0.1274323623,"projekt-detail_1039"
"137","Szenarien-Visualisierung in der Raumplanung II","TU1401","Martin Geilhausen",2014-05-13,0.1392107407,"projekt-detail_104"
"138","Corporate Publishing Code IAM: Fragile Suisse","IC1104","Colette Schneider",2009-09-01,0.0840116688,"projekt-detail_1040"
"139","Elektronischer Datenaustausch (eDA) in der Physiotherapie","IS0903","Mandy Scheermesser",2009-09-01,0.1082299857,"projekt-detail_1041"
"140","Establishment of a robust GMP-ready technology platform for large-scale Transient Gene Expression for the manufacture of clinical grade protein pharmaceuticals","IC1103","Christiane Zaborosch",2009-09-01,0.0773158906,"projekt-detail_1042"
"141","Evaluation der Einsatzmglichkeiten &quot;GFK-Trger&quot;","CM1404","",2009-09-01,0.1226326068,"projekt-detail_1043"
"142","Fachhochschulstudiengnge fr Frauen und Mnner attraktiv gestalten","IS0901","Nadja Ramsauer",2009-09-01,0.1386979306,"projekt-detail_1044"
"143","G-e-velopment  Kommunikation fr Berufseinsteigerinnen in wirtschaftlichen und technischen Berufsfeldern","IC1103","",NA,0.0537895419,"projekt-detail_1045"
"144","Impulsprogramm &quot;Enjoy Switzerland in Partnerschaft mit der Schweizer Berghilfe&quot;","CM1405","Stefan Forster",2009-09-01,0.044608168,"projekt-detail_1046"
"145","Multifunctional bakery bioingredients","FA0802","Janice Sych  ",2009-09-01,0.0915893715,"projekt-detail_1047"
"146","Pflegebedrfnisse &amp; Untersttzungsbedarf Angehriger lterer Krebspatienten mit ambulanter Therapie","TU0802","Lorenz Imhof",2009-09-01,0.1318072506,"projekt-detail_1048"
"147","Salrstudie 2010 FM Branche","TU0804","Daniel von Felten ",2009-09-01,0.1084412073,"projekt-detail_1049"
"148","LemoS goes F&amp;A / KoKoS","MP1101","Nicole Gerber",2014-05-08,0.11484449,"projekt-detail_105"
"149","Swiss Music Awards 2010","IS0605","Caesar Aurel Roth",2009-09-01,0.1143813013,"projekt-detail_1050"
"150","Zu Wort kommen (2009-2010)","TU0603","Angélique Thabar und Jörg Keller",2009-09-01,0.1063506579,"projekt-detail_1052"
"151","Enabling Health Communication - Feasibility Study","IS0603","Michael Schanne",2009-08-15,0.106309614,"projekt-detail_1053"
"152","Cross cultural adaptation and validation of the PEDI (Pediatric Evaluation Disability Inventory) for the German-speaking part of Europe","IS1002","Julie Page",2009-08-01,0.1031169097,"projekt-detail_1054"
"153","EMI English-medium instruction in Higher Education (2009-2010)","FP1206","Patrick Studer",2009-08-01,0.0981734513,"projekt-detail_1055"
"154","Evaluation des Informationskanals Channel One","IS0703","Carmen Koch",2009-08-01,0.1285361039,"projekt-detail_1056"
"155","Evaluation Tagesschulen und Schlerclubs der Stadt Zrich","TU0804","Esther  Forrer Kasteel",2009-08-01,0.1354857142,"projekt-detail_1057"
"156","Gesundheitskonomische Aspekte der KoLe Statistik","IC0702","Simon Wieser",2009-08-01,0.1978945218,"projekt-detail_1058"
"157","Kommunikations-Kompass IAM: CVP/EVP-Fraktion Baselland","IS1308","Colette Schneider",2009-08-01,0.0419255321,"projekt-detail_1059"
"158","Im Fokus: Sprache der &quot;Tagesschau&quot;","IC1207","Patrick Tschirky",2014-05-07,0.1819418792,"projekt-detail_106"
"159","Lancierung und Durchfhrung eines Fingerfoodwettbewerbes zur Verminderung der Abfallmenge bei Grossanlssen","TD1203","Jacqueline Javor Qvortrup",2009-08-01,0.1125165302,"projekt-detail_1060"
"160","Leitfaden Agrotourismus in Graubnden","IS1204","Rebecca Göpfert",2009-08-01,0.2593170942,"projekt-detail_1061"
"161","Translation processes","TD1210","Beate Sick",2009-08-01,0.1140387788,"projekt-detail_1062"
"162","Wertsteigerung von Unternehmen durch den Einbezug sozialer Themen in Schlsselprozesse","TU1305","Herbert Winistörfer",2009-08-01,0.1553040335,"projekt-detail_1063"
"163","Media Quality Training IAM: Jugendradio Music First","IS0906","André Schibli",2009-07-15,0.1101133293,"projekt-detail_1064"
"164","Daten-Visualisierung mit Web 2.0-Technologie des Boden-Messnetzes der Ostschweizer Kantone","ES1406","Roland Gassmann",2009-07-06,0.2027161709,"projekt-detail_1065"
"165","Alterskonzept Rapperswil-Jona","TU1204","Holger Auerbach",2009-07-01,0.2533885972,"projekt-detail_1066"
"166","Automatisierte Erkennung von Fahrzeugklassen","TU1105","Beate Sick",2009-07-01,0.3092476305,"projekt-detail_1067"
"167","Computer-Based Surgical Simulation of Knee Arthroscopy","TU0903","Markus Thaler",2009-07-01,0.2132304601,"projekt-detail_1068"
"168","Finalistenpreis 2009 Heinrich und Erna Walder-Stiftung","TU0701","Reto Hagenbuch",2009-07-01,0.2028584418,"projekt-detail_1069"
"169","ALL-EMA","TD1106","Manuel Babbi",2014-05-01,0.1266321063,"projekt-detail_107"
"170","Framework der Kommunikationsleitung","IS1405","Nicole Rosenberger",2009-07-01,0.1037946531,"projekt-detail_1070"
"171","FVK PSM Brckentrger","TU0905","",2009-07-01,0.1958275257,"projekt-detail_1071"
"172","Genderkompetenz in den Fachkulturen und in der Lehre","IS0901","Theresia Weiss Sampietro",2009-07-01,0.1166886532,"projekt-detail_1072"
"173","Kommunikations-Audit IAM: Verband fr Finanzdienstleister","IS1308","Katharina Urbahn",2009-07-01,0.1690674458,"projekt-detail_1073"
"174","Land Banking","TU0602","Peter Meier",2009-07-01,0.3537867692,"projekt-detail_1074"
"175","Personenflusssimulation Strafjustizzentrum Basel-Landschaft","TU1401","Tatiana Starostina",2009-07-01,0.1234125784,"projekt-detail_1075"
"176","Prventionsprojekt Kormoran - Berufsfischerei","FA0601","Klaus Robin",2009-07-01,0.1878434496,"projekt-detail_1076"
"177","Schreibwerkstatt IAM: insieme Schweiz","IS0703","Aleksandra Gnach",2009-07-01,0.2871764134,"projekt-detail_1077"
"178","Verbundlsungen fr integrierte Pflege und Betreuung","BM1402","Holger Auerbach",2009-07-01,0.0831584505,"projekt-detail_1078"
"179","Workshop Konzeptmethodik","IS1308","Nicole Rosenberger",2009-06-10,0.0630777065,"projekt-detail_1079"
"180","Etablierung eines scale-down Bioreaktors","IS1007","Dieter Eibl",2014-05-01,0.2086851669,"projekt-detail_108"
"181","Beschreibung des Herstellungsprozesses eines Trockenfleischproduktes und des Selbstkontrollkonzeptes gemss Anforderungen der Lebensmittelgesetzgebung","FA1001","Evelyn Anna Meier",2009-06-01,0.1823809486,"projekt-detail_1080"
"182","Bioabfallbehandlungsanlagen als Hygienebarrieren","FA1006","Urs Baier",2009-06-01,0.1358340822,"projekt-detail_1081"
"183","Evaluation der Zeitschrift &quot;ZHAW-Impact&quot;","TU1406","Vinzenz Wyss",2009-06-01,0.0687216436,"projekt-detail_1082"
"184","Evaluation des Magazins greenpeace","TU0804","Colette Schneider",2009-06-01,0.1440948764,"projekt-detail_1083"
"185","Evaluation faunistischer Vorranggebiete und Vorschlge zur Ausscheidung von Wildruhezonen im WEP Willisau","TD1101","Roland Graf",2009-06-01,0.0944530511,"projekt-detail_1084"
"186","Regionale Attraktivitt fr Fach- und Fhrungskrfte in der Region Alpenrhein","TU1004","",2009-06-01,0.0924279291,"projekt-detail_1086"
"187","Sozialpolitik unterrichten","FP1207","",NA,0.1636027596,"projekt-detail_1087"
"188","Systematik Mobil: digitaler Schlssel zum Bestimmen hufiger Grnland- und Waldgrser","FA1204","Bertil Krüsi",2009-06-01,0.1023473116,"projekt-detail_1088"
"189","Vergleichsstudie und Usability-Test an Hrsystemen eines grossen Schweizer Hrgerte-Herstellers","FP0804","Catherine Badras",2009-06-01,0.1155878446,"projekt-detail_1090"
"190","Writing Cultures and Academic Mobility","IS0703","",NA,0.342433752,"projekt-detail_1091"
"191","Service Value Management","IC1304","Christian Coenen",2009-05-30,0.2368086127,"projekt-detail_1092"
"192","Entwicklung eines Planspiels fr den Kaderanlass der BKW AG","TU1002","Claudio Cometta",2009-05-27,0.0640614252,"projekt-detail_1093"
"193","Textdesign-Atelier IAM: Adressatenorientierte Fachartikel zu strukturierten Produkten fr die UBS Investment Bank","IS1410","Aleksandra Gnach",2009-05-18,0.0850363142,"projekt-detail_1094"
"194","Zetapotentialmessungen zur Charakterisierung von Filterhilfsmitteln","MP0701","Jürgen Ebert",2009-05-11,0.0564123443,"projekt-detail_1095"
"195","AlpFusionen steuern","TU1401","Priska Müller Wahl",2009-05-01,0.1525114996,"projekt-detail_1096"
"196","Conceptual transfer","IC1207","Maureen Ehrensberger-Dow",2009-05-01,0.2265894542,"projekt-detail_1097"
"197","Datenanalyse Blutdruckwoche","TU0804","René Schaffert",2009-05-01,0.2752279157,"projekt-detail_1098"
"198","Fachtagung FVK 2010","TU1207","",2009-05-01,0.2202160991,"projekt-detail_1099"
"199","Health Technology Assessment: Dynamische intraligamentre Stabilisierung (DIS) bei Ruptur des vorderen Kreuzbands","BM0607","Klaus Eichler",2014-05-01,0.1063175477,"projekt-detail_110"
"200","Gestaltung eines Blended Learning Kurses fr das Modul &quot;Juristisches Schreiben&quot;","IS0602","Urs Thönen",2009-05-01,0.1968433959,"projekt-detail_1100"
